band,date,hour_utc,tx_sign,tx_grid,tx_lat,tx_lon,rx_sign,rx_grid,rx_lat,rx_lon,distance_km,n_spots,avg_snr,worked
14,2026-07-20,6,PA1WBU,JO21,51.479,4.958,OZ7IT,JO65,55.229,12.292,640.0,1,-9.0,True
14,2026-07-20,6,DL1FX,JN49,49.729,8.542,PE1RZM,JO33,53.312,6.958,413.0,2,-18.5,True
14,2026-07-20,6,K7DB,DN17,47.688,-117.375,VE6KDX,DO34,54.896,-112.292,875.0,3,2.3333333333333335,True
14,2026-07-20,6,OK2SAM,JN99,49.479,18.958,PA5BS,JO21,51.938,4.542,1049.0,2,-27.5,True
14,2026-07-20,6,G3JKF,JO00,50.771,0.125,M9PSY-1,IO86,56.021,-3.375,628.0,1,-5.0,True
14,2026-07-20,6,OE1ELW/8,JN66,46.604,13.458,VE3IIM,EN94,44.146,-81.042,6909.0,1,-20.0,True
14,2026-07-20,6,KM4TTS,EM80,30.562,-83.875,DK4RW/1,JO40,50.188,9.208,7655.0,14,-18.642857142857142,True
14,2026-07-20,6,M5SSB,IO91,51.646,-0.792,N8GA,EN80,40.188,-83.625,6181.0,3,-19.0,True
14,2026-07-20,6,EA1LC,IN53,43.354,-8.458,PE0MJX,JO31,51.354,6.042,1404.0,6,-12.666666666666666,True
14,2026-07-20,6,KM4TTS,EM80,30.562,-83.875,KPH,CM88,38.104,-122.958,3657.0,4,-27.5,True
14,2026-07-20,6,W1TKO,FN42,42.479,-71.042,GM4DIJ,IO85,55.938,-3.292,4924.0,1,-25.0,True
14,2026-07-20,6,G4HSB,IO94,54.479,-1.042,N2EPE,FN13,43.062,-77.542,5459.0,10,-14.0,True
14,2026-07-20,6,PA0PPW,JO21,51.479,4.958,VY0ERC,ER60,80.062,-86.375,4427.0,2,-14.0,True
14,2026-07-20,6,DN3LEO,IQ61,71.479,-7.042,KM3T-3,FN42,42.812,-71.625,4658.0,1,-20.0,True
14,2026-07-20,6,OH6OHX,KP03,63.146,21.625,G7KZA,IO92,52.479,-1.042,1774.0,6,-16.5,True
14,2026-07-20,6,VK3MO,QF22,-37.521,144.958,K9TRV-2,EN82,42.354,-83.875,15875.0,6,-0.6666666666666666,True
14,2026-07-20,6,KH6TZ,BL11,21.312,-157.792,K6VZK,DM13,33.312,-116.875,4226.0,1,-23.0,True
14,2026-07-20,6,AJ8S,EM89,39.812,-83.875,K1TE,FN41,41.479,-71.042,1097.0,4,-26.25,True
14,2026-07-20,6,DL1DUZ,JO61,51.062,13.625,I0UVN,JN61,41.479,13.125,1066.0,1,-25.0,True
14,2026-07-20,6,I1RFQ,JN35,45.479,6.958,G4ZFQ,IO90,50.729,-1.292,845.0,3,-14.333333333333334,True
14,2026-07-20,6,K3GLM,CN87,47.479,-123.042,KG5VWO,EM40,30.312,-90.792,3343.0,1,-25.0,True
14,2026-07-20,6,K4CFB,FM04,34.479,-79.042,KK7IXU,CN88,48.604,-122.875,3906.0,3,-21.333333333333332,True
14,2026-07-20,6,PA0MLC,JO31,51.938,6.042,CT7AJC,IN50,40.229,-8.458,1710.0,4,-8.5,True
14,2026-07-20,6,N5NBD,EM10,30.729,-96.292,KL5SE,BP54,64.771,-148.042,5164.0,1,-20.0,True
14,2026-07-20,6,PC4T,JO22,52.604,4.708,ON5KQ,JO10,50.771,3.208,229.0,1,-25.0,True
14,2026-07-20,6,AE0GQ,DM79,39.646,-104.792,WA3VPZ,FM19,39.562,-77.125,2361.0,2,-9.5,True
14,2026-07-20,6,M5SSB,IO91,51.646,-0.792,K9TRV-5,EN82,42.354,-83.875,6038.0,3,-15.666666666666666,True
14,2026-07-20,6,K5XL,EM12,32.646,-97.125,W1CK,DM13,33.188,-117.292,1880.0,6,-20.666666666666668,True
14,2026-07-20,6,G4HSB,IO94,54.479,-1.042,VK6QS,OF75,-34.312,115.125,14689.0,8,-23.875,True
14,2026-07-20,6,DG6RCH,JN68,48.646,12.625,OH3LMN/KIWI,KP11,61.521,23.875,1596.0,2,-5.5,True
14,2026-07-20,6,KB0EE,DN70,40.479,-105.042,N2YCH,FN31,41.271,-73.208,2663.0,2,-15.5,True
14,2026-07-20,6,G6CKK,JO01,51.396,0.458,OZ1BFM,JO66,56.062,12.125,925.0,1,-6.0,True
14,2026-07-20,6,DF6LT,JO43,53.562,9.708,HB9RYZ,JN47,47.021,8.542,732.0,3,-8.0,True
14,2026-07-20,6,N5JUJ,EM32,32.188,-92.542,NI0K1,EN27,47.729,-95.208,1743.0,7,-23.0,True
14,2026-07-20,6,VE4GIL,EN19,49.812,-97.125,KFS/SE,CM87,37.396,-122.375,2439.0,2,-20.0,True
14,2026-07-20,6,ES2RR,KO29,59.271,24.625,OE3GBB/Q,JN87,47.688,16.042,1405.0,3,-12.666666666666666,True
14,2026-07-20,6,IZ2FER,JN45,45.396,9.208,DG1ELE,JO30,50.438,6.458,597.0,1,-17.0,True
14,2026-07-20,6,R2BIY,KO85,55.604,37.625,G4FKI,IO92,52.021,-0.458,2499.0,2,-22.5,True
14,2026-07-20,6,VE3IIM,EN94,44.146,-81.042,WESSEX,IO80,50.729,-2.625,5662.0,1,-21.0,True
14,2026-07-20,6,VK3MO,QF22,-37.521,144.958,N5TNL,EM25,35.354,-94.292,14799.0,6,-22.666666666666668,True
14,2026-07-20,6,2E0DLC,IO93,53.479,-1.042,OE3GBB,JN87,47.688,16.042,1362.0,15,-7.8,True
14,2026-07-20,6,VE3OWV,FN15,45.438,-76.208,VK7CMV,QE29,-40.854,145.208,16654.0,2,-11.5,True
14,2026-07-20,6,W4EO,FM29,39.479,-75.042,KD5QLM,EM13,33.062,-97.042,2091.0,1,-18.0,True
14,2026-07-20,6,DG6RCH,JN68,48.646,12.625,EA8/DF4UE,IL38,28.646,-13.875,3170.0,1,-23.0,True
14,2026-07-20,6,OZ7IT,JO65,55.229,12.292,GM4DIJ,IO85,55.938,-3.292,980.0,1,-5.0,True
14,2026-07-20,6,VE6EGN,DO23,53.188,-114.625,KFS/OMNI,CM87,37.396,-122.375,1855.0,1,-17.0,True
14,2026-07-20,6,W4VNA,EM84,34.104,-83.958,K6VZK,DM13,33.312,-116.875,3033.0,3,-18.333333333333332,True
14,2026-07-20,6,PI9ESA,JO22,52.229,4.458,W4KEL,FM08,38.146,-78.542,6321.0,3,-15.333333333333334,True
14,2026-07-20,6,GM8HHC,IO85,55.938,-3.208,EC1CS,IN62,42.354,-7.875,1547.0,1,-25.0,True
14,2026-07-20,6,KH2R,FN21,41.479,-75.042,VK3ARW,QF12,-37.104,143.458,16694.0,3,-4.0,True
14,2026-07-20,6,KZ4IK,FM08,38.354,-78.208,AD0RS,DM79,39.729,-105.042,2314.0,1,-19.0,True
14,2026-07-20,6,OE9AZH,JN47,47.229,9.625,LA3FY/2,JP40,60.396,8.458,1466.0,1,-23.0,True
