08, 09,    5.300,  51.1167,   7.2667,   174.73,  27.73, -93.96,  41.55,   0.00,   0.00,   0.00
08, 09,    7.100,  51.1167,   7.2667,   174.73,  31.70, -92.52,  47.81,   0.00,   0.00,   0.00
08, 09,   10.100,  51.1167,   7.2667,   174.73,   7.24,-120.05,  28.28,   0.00,   0.00,   0.00
08, 09,   14.100,  51.1167,   7.2667,   174.73,  -3.41,-133.59,  15.03,   0.00,   0.00,   0.00
08, 09,   18.100,  51.1167,   7.2667,   174.73,  -9.90,-142.25,   8.97,   0.00,   0.00,   0.00
08, 09,   21.100,  51.1167,   7.2667,   174.73, -12.08,-145.76,   7.47,   0.00,   0.00,   0.00
08, 09,   24.900,  51.1167,   7.2667,   174.73, -12.80,-147.92,   6.56,   0.00,   0.00,   0.00
08, 09,   28.300,  51.1167,   7.2667,   174.73, -12.63,-148.86,   7.12,   0.00,   0.00,   0.00
08, 09,   29.700,  51.1167,   7.2667,   174.73, -12.57,-149.23,   7.32,   0.00,   0.00,   0.00
08, 10,    3.500,  51.1167,   7.2667,   174.73,  16.77,-101.31,  29.29,   0.00,   0.00,   0.00
08, 10,    5.300,  51.1167,   7.2667,   174.73,  25.48, -96.21,  39.30,   0.00,   0.00,   0.00
08, 10,    7.100,  51.1167,   7.2667,   174.73,  30.36, -93.86,  46.46,   0.00,   0.00,   0.00
08, 10,   10.100,  51.1167,   7.2667,   174.73,   6.87,-120.41,  27.85,   0.00,   0.00,   0.00
08, 10,   14.100,  51.1167,   7.2667,   174.73,  -3.57,-133.75,  14.76,   0.00,   0.00,   0.00
08, 10,   18.100,  51.1167,   7.2667,   174.73, -10.01,-142.36,   8.80,   0.00,   0.00,   0.00
08, 10,   21.100,  51.1167,   7.2667,   174.73, -12.21,-145.89,   7.32,   0.00,   0.00,   0.00
08, 10,   24.900,  51.1167,   7.2667,   174.73, -12.96,-148.08,   6.40,   0.00,   0.00,   0.00
08, 10,   28.300,  51.1167,   7.2667,   174.73, -12.76,-148.99,   6.99,   0.00,   0.00,   0.00
08, 10,   29.700,  51.1167,   7.2667,   174.73, -12.69,-149.35,   7.20,   0.00,   0.00,   0.00
08, 11,    3.500,  51.1167,   7.2667,   174.73,  15.11,-102.97,  27.63,   0.00,   0.00,   0.00
08, 11,    5.300,  51.1167,   7.2667,   174.73,  23.90, -97.78,  37.72,   0.00,   0.00,   0.00
08, 11,    7.100,  51.1167,   7.2667,   174.73,  29.55, -94.68,  45.62,   0.00,   0.00,   0.00
08, 11,   10.100,  51.1167,   7.2667,   174.73,   6.35,-120.94,  27.25,   0.00,   0.00,   0.00
08, 11,   14.100,  51.1167,   7.2667,   174.73,  -3.88,-134.07,  14.33,   0.00,   0.00,   0.00
08, 11,   18.100,  51.1167,   7.2667,   174.73, -10.19,-142.54,   8.56,   0.00,   0.00,   0.00
08, 11,   21.100,  51.1167,   7.2667,   174.73, -12.30,-145.99,   7.22,   0.00,   0.00,   0.00
08, 11,   24.900,  51.1167,   7.2667,   174.73, -12.98,-148.10,   6.38,   0.00,   0.00,   0.00
08, 11,   28.300,  51.1167,   7.2667,   174.73, -12.75,-148.99,   7.00,   0.00,   0.00,   0.00
08, 11,   29.700,  51.1167,   7.2667,   174.73, -12.68,-149.33,   7.21,   0.00,   0.00,   0.00
08, 12,    3.500,  51.1167,   7.2667,   174.73,  14.13,-103.95,  26.59,   0.00,   0.00,   0.00
08, 12,    5.300,  51.1167,   7.2667,   174.73,  22.96, -98.73,  36.61,   0.00,   0.00,   0.00
08, 12,    7.100,  51.1167,   7.2667,   174.73,  29.04, -95.18,  44.79,   0.00,   0.00,   0.00
08, 12,   10.100,  51.1167,   7.2667,   174.73,   5.56,-121.73,  25.90,   0.00,   0.00,   0.00
08, 12,   14.100,  51.1167,   7.2667,   174.73,  -4.48,-134.67,  13.38,   0.00,   0.00,   0.00
08, 12,   18.100,  51.1167,   7.2667,   174.73, -10.59,-142.94,   8.07,   0.00,   0.00,   0.00
08, 12,   21.100,  51.1167,   7.2667,   174.73, -12.53,-146.21,   6.97,   0.00,   0.00,   0.00
08, 12,   24.900,  51.1167,   7.2667,   174.73, -13.04,-148.17,   6.31,   0.00,   0.00,   0.00
08, 12,   28.300,  51.1167,   7.2667,   174.73, -12.80,-149.04,   6.94,   0.00,   0.00,   0.00
08, 12,   29.700,  51.1167,   7.2667,   174.73, -12.73,-149.38,   7.17,   0.00,   0.00,   0.00
08, 13,    3.500,  51.1167,   7.2667,   174.73,  14.04,-104.05,  26.36,   0.00,   0.00,   0.00
08, 13,    5.300,  51.1167,   7.2667,   174.73,  22.81, -98.87,  36.18,   0.00,   0.00,   0.00
08, 13,    7.100,  51.1167,   7.2667,   174.73,  28.83, -95.40,  44.01,   0.00,   0.00,   0.00
08, 13,   10.100,  51.1167,   7.2667,   174.73,   4.87,-122.42,  23.45,   0.00,   0.00,   0.00
08, 13,   14.100,  51.1167,   7.2667,   174.73,  -5.05,-135.24,  12.27,   0.00,   0.00,   0.00
08, 13,   18.100,  51.1167,   7.2667,   174.73, -10.95,-143.30,   7.57,   0.00,   0.00,   0.00
08, 13,   21.100,  51.1167,   7.2667,   174.73, -12.70,-146.38,   6.77,   0.00,   0.00,   0.00
08, 13,   24.900,  51.1167,   7.2667,   174.73, -13.05,-148.18,   6.30,   0.00,   0.00,   0.00
08, 13,   28.300,  51.1167,   7.2667,   174.73, -12.81,-149.05,   6.93,   0.00,   0.00,   0.00
08, 13,   29.700,  51.1167,   7.2667,   174.73, -12.74,-149.39,   7.16,   0.00,   0.00,   0.00
08, 14,    3.500,  51.1167,   7.2667,   174.73,  14.63,-103.45,  26.83,   0.00,   0.00,   0.00
08, 14,    5.300,  51.1167,   7.2667,   174.73,  23.29, -98.39,  36.42,   0.00,   0.00,   0.00
08, 14,    7.100,  51.1167,   7.2667,   174.73,  21.85,-102.37,  39.76,   0.00,   0.00,   0.00
08, 14,   10.100,  51.1167,   7.2667,   174.73,   4.24,-123.05,  22.13,   0.00,   0.00,   0.00
08, 14,   14.100,  51.1167,   7.2667,   174.73,  -5.66,-135.85,  11.19,   0.00,   0.00,   0.00
08, 14,   18.100,  51.1167,   7.2667,   174.73, -11.38,-143.73,   7.00,   0.00,   0.00,   0.00
08, 14,   21.100,  51.1167,   7.2667,   174.73, -12.97,-146.66,   6.47,   0.00,   0.00,   0.00
08, 14,   24.900,  51.1167,   7.2667,   174.73, -13.21,-148.33,   6.14,   0.00,   0.00,   0.00
08, 14,   28.300,  51.1167,   7.2667,   174.73, -12.98,-149.22,   6.77,   0.00,   0.00,   0.00
08, 14,   29.700,  51.1167,   7.2667,   174.73, -12.91,-149.56,   6.99,   0.00,   0.00,   0.00
08, 15,    3.500,  51.1167,   7.2667,   174.73,  16.23,-101.85,  28.33,   0.00,   0.00,   0.00
08, 15,    5.300,  51.1167,   7.2667,   174.73,  24.77, -96.91,  37.69,   0.00,   0.00,   0.00
08, 15,    7.100,  51.1167,   7.2667,   174.73,  20.18,-104.04,  37.67,   0.00,   0.00,   0.00
08, 15,   10.100,  51.1167,   7.2667,   174.73,   4.18,-123.10,  21.50,   0.00,   0.00,   0.00
08, 15,   14.100,  51.1167,   7.2667,   174.73,  -5.81,-135.99,   9.86,   0.00,   0.00,   0.00
08, 15,   18.100,  51.1167,   7.2667,   174.73, -11.44,-143.79,   6.81,   0.00,   0.00,   0.00
08, 15,   21.100,  51.1167,   7.2667,   174.73, -12.93,-146.62,   5.72,   0.00,   0.00,   0.00
